years_bp,epica_co2_ppm
0,313.66
1,309.69
2,311.57
3,311.615
4,312.11333333333334
5,310.6466666666667
6,312.36
7,312.36
8,312.39
9,309.77
10,310.65333333333336
11,310.29333333333335
12,311.92499999999995
13,307.41
14,307.64
16,308.355
17,307.49333333333334
19,305.74
20,305.38
21,305.71999999999997
22,308.02
24,304.97
25,304.72
27,304.69
30,301.88
31,304.61
32,303.85
34,301.92
35,300.7
37,301.3
38,298.495
39,298.11
40,297.87
41,301.5
44,298.66
46,295.99
48,295.61
49,294.22
51,296.16499999999996
56,294.09999999999997
57,295.015
60,291.63
62,294.34
64,288.12
65,289.23
66,289.76
67,292.46
70,287.77
73,289.33
76,291.56
77,286.66
79,286.33
80,287.99
81,289.54
82,287.99
83,285.05
85,286.65
87,285.35
88,287.17
91,286.63
93,283.16
95,285.57
96,288.05
98,285.47
99,286.395
102,286.84
104,283.62
105,283.355
106,281.58
109,283.65
113,284.15
116,283.82
117,285.09
123,285.91
125,281.36
136,284.43
150,282.8
153,280.4
154,282.3
155,281.62
169,273.07
170,280.24
176,277.86
186,276.4
187,277.16
197,278.0
198,276.46
200,277.6
208,276.81
216,278.31
226,277.01
227,278.27
255,277.36
260,276.32
268,276.66
300,278.02
310,276.69
321,273.78
340,271.11
346,275.07
359,279.36
361,281.11
376,282.57
390,281.83
400,283.53
420,283.95
448,283.12
480,280.31
500,282.23
521,279.73
539,279.7
559,280.91
601,278.36
619,284.07
642,281.58
671,278.43
690,282.2
698,282.41
739,283.69
750,284.54
784,283.97
803,284.51
834,282.84
850,283.09
879,282.84
900,280.97
909,280.92
930,280.06
932,279.8
967,278.74
992,277.41
1035,280.11
1074,279.42
1127,278.62
1156,279.72
1187,279.29
1219,279.99
1248,277.1
1280,278.45
1313,279.59
1335,277.87
1367,276.2
1392,278.46
1398,276.56
1432,276.79
1461,277.11
1513,280.0
1543,279.13
1565,277.25
1592,277.8
1632,281.69
1654,280.91
1675,280.24
1683,278.31
1709,280.25
1775,277.56
1796,278.07
1814,278.1
1846,277.5
1894,277.4
1920,277.9
1949,276.7
1999,278.0
2093,276.9
2234,276.7
2265,276.7
2414,277.6
2526,277.9
2628,273.9
2708,278.9
2801,275.3
2904,274.7
2948,276.3
3056,274.6
3255,276.3
3283,273.1
3431,274.0
3528,275.0
3644,273.4
3693,273.0
3806,271.5
3856,275.4
3968,274.9
4108,271.7
4205,271.6
4275,272.8
4342,271.5
4494,271.1
4592,269.1
4647,269.8
4773,271.5
4921,270.7
4981,269.3
5086,268.6
5218,269.8
5311,267.6
5357,265.3
5533,265.2
5581,267.6
5757,265.9
5852,265.5
5934,260.7
5999,266.7
6089,265.5
6301,263.2
6337,262.7
6401,261.2
6572,261.1
6682,259.4
6769,262.1
6880,262.9
6970,258.1
7038,257.6
7188,262.3
7274,263.0
7405,260.7
7497,258.4
7661,260.1
7719,260.4
7860,259.7
7926,259.2
7975,260.8
8116,259.6
8194,259.3
8351,258.3
8459,261.3
8546,260.7
8710,261.8
8781,259.0
8911,260.9
8992,260.4
9060,259.3
9143,262.0
9295,263.7
9361,263.8
9436,265.2
9518,260.6
9524,260.9
9555,263.0
9573,263.8
9901,264.4
9992,264.2
10134,264.0
10192,263.4
10299,265.7
10366,264.9
10505,267.5
10680,266.9
10801,266.0
10835,265.1
10954,267.6
11089,264.8
11161,264.8
11185,265.0
11200,265.3
11256,264.4
11316,264.1
11339,264.81
11383,264.84
11399,268.16
11417,264.48
11435,270.14
11453,268.87
11472,269.1
11490,267.17
11507,267.66
11523,269.51
11543,266.9
11559,262.74
11576,267.09
11592,260.7
11611,261.3
11628,266.22
11647,257.13
11664,247.55
11682,254.62
11701,253.99
11719,256.04
11740,255.89
11759,258.74
11780,258.25
11802,258.53
11820,257.17
11843,254.31
11863,253.63
11883,251.56
11904,255.9
11926,258.57
11948,248.92
11969,253.99
11990,255.39
12015,247.85
12037,248.41
12058,253.1
12079,251.03
12105,255.66
12124,253.02
12146,251.14
12168,251.42
12190,250.97
12211,249.65
12232,249.23
12256,248.95
12280,249.38
12301,248.92
12321,250.73
12343,246.97
12365,244.31
12388,243.0
12409,246.4
12431,247.67
12454,245.83
12475,246.18
12495,244.42
